from,to,type,confidence,reason,step
"Method:src/ui/src/abstractlogview.cpp:saveLinesToFile#2","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:setSearchEnd#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:updateData#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:selectAll#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:jumpToLine#1","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:getNbVisibleLines#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:convertCoordToFilePos#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:convertCoordToFilePos#1","Struct:src/logdata/include/linetypes.h:LineColumn","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:moveSelection#2","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:maxLineLength#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:drawTextArea#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:visualRowsForLine#1","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/filteredview.cpp:maxDisplayLineNumber#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddataworker.cpp:clear#0","Struct:src/logdata/include/linetypes.h:LineLength","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddataworker.cpp:clear#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddataworker.cpp:doSearch#2","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddataworker.cpp:doSearch#2","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:runSearch#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:runSearch#1","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:updateSearch#2","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getNbMatches#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getNbMarks#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:iterateOverLines#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getMarkAfter#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getMarkBefore#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:updateMaxLengthMarks#2","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getMarks#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:handleSearchProgressed#4","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:findLogDataLine#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:findFilteredLine#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:doGetLines#2","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:doGetNbLine#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:getNbLines#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:parseDataBlock#3","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:indexNextBlock#2","Struct:src/logdata/include/linetypes.h:LineLength","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:doIndex#1","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:run#0","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:goToLine#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:applyViewContext#2","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:loadingFinishedHandler#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:clearSearchLimits#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:replaceCurrentSearch#3","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/mainwindow.cpp:handleLoadingFinished#1","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/mainwindow.cpp:handleLoadingFinished#1","Struct:src/logdata/include/linetypes.h:LineColumn","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/mainwindow.cpp:handleLoadingFinished#1","Struct:src/logdata/include/linetypes.h:LineLength","CALLS",0.9,"import-resolved",0
