from,to,type,confidence,reason,step
"Method:src/app/labcontrollerservice.cpp:submitBundle","Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked#3","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:queueSnapshot","Method:src/app/labcontrollerservice.cpp:queueSnapshotUnlocked#0","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:agentsSnapshot","Method:src/app/labcontrollerservice.cpp:agentsSnapshotUnlocked#0","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:jobStatus","Method:src/app/labcontrollerservice.cpp:jobStatusUnlocked#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:cancelJob","Method:src/app/labcontrollerservice.cpp:sendAgentMessage#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:cancelJob","Method:src/app/labcontrollerservice.cpp:jobStatusUnlocked#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:artifactsPayload","Method:src/app/labcontrollerservice.cpp:artifactsPayloadUnlocked#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:artifactDirectoryPath","Method:src/app/labcontrollerservice.cpp:jobDirectoryPath#1","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:writeBundleToDisk","Method:src/app/labcontrollerservice.cpp:jobDirectoryPath#1","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Method:src/app/labcontrollerservice.cpp:nextJobId#0","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Method:src/app/labcontrollerservice.cpp:artifactDirectoryPath#1","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Method:src/app/labcontrollerservice.cpp:writeBundleToDisk#3","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Method:src/app/labcontrollerservice.cpp:scheduleJobs#0","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Method:src/app/labcontrollerservice.cpp:jobStatusUnlocked#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Method:src/app/labcontrollerservice.cpp:eligibleBindings#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Method:src/app/labcontrollerservice.cpp:sendAgentMessage#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Method:src/app/labcontrollerservice.cpp:artifactDirectoryPath#1","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:scheduleJobs","Method:src/app/labcontrollerservice.cpp:assignJobToAgent#5","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:jobStatusUnlocked","Method:src/app/labcontrollerservice.cpp:jobPayloadById#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:artifactsPayloadUnlocked","Method:src/app/labcontrollerservice.cpp:jobPayloadById#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:loadBundlePayload","Method:src/app/labcontrollerservice.cpp:jobPayloadById#2","CALLS",0.95,"same-file",0
